FIPStxt,State,CENSUS_2020_POP
0,US,"331,449,281"
1000,AL,"5,024,279"
1001,AL,"58,805"
1003,AL,"231,767"
1005,AL,"25,223"
1007,AL,"22,293"
1009,AL,"59,134"
1011,AL,"10,357"
1013,AL,"19,051"
1015,AL,"116,441"
1017,AL,"34,772"
1019,AL,"24,971"
1021,AL,"45,014"
1023,AL,"12,665"
1025,AL,"23,087"
1027,AL,"14,236"
1029,AL,"15,056"
1031,AL,"53,465"
1033,AL,"57,227"
1035,AL,"11,597"
1037,AL,"10,387"
1039,AL,"37,570"
1041,AL,"13,194"
1043,AL,"87,866"
1045,AL,"49,326"
1047,AL,"38,462"
1049,AL,"71,608"
1051,AL,"87,977"
1053,AL,"36,757"
1055,AL,"103,436"
1057,AL,"16,321"
1059,AL,"32,113"
1061,AL,"26,659"
1063,AL,"7,730"
1065,AL,"14,785"
1067,AL,"17,146"
1069,AL,"107,202"
1071,AL,"52,579"
1073,AL,"674,721"
1075,AL,"13,972"
1077,AL,"93,564"
1079,AL,"33,073"
1081,AL,"174,241"
1083,AL,"103,570"
1085,AL,"10,311"
1087,AL,"19,532"
1089,AL,"388,153"
1091,AL,"19,323"
1093,AL,"29,341"
1095,AL,"97,612"
1097,AL,"414,809"
1099,AL,"19,772"
1101,AL,"228,954"
1103,AL,"123,421"
1105,AL,"8,511"
1107,AL,"19,123"
1109,AL,"33,009"
1111,AL,"21,967"
1113,AL,"59,183"
1115,AL,"91,103"
1117,AL,"223,024"
1119,AL,"12,345"
1121,AL,"82,149"
1123,AL,"41,311"
1125,AL,"227,036"
1127,AL,"65,342"
1129,AL,"15,388"
1131,AL,"10,600"
1133,AL,"23,540"
2000,AK,"733,391"
2013,AK,"3,420"
2016,AK,"5,232"
2020,AK,"291,247"
2050,AK,"18,666"
2060,AK,844
2063,AK,"7,102"
2066,AK,"2,617"
2068,AK,"1,619"
2070,AK,"4,857"
2090,AK,"95,655"
2100,AK,"2,080"
2105,AK,"2,365"
2110,AK,"32,255"
2122,AK,"58,799"
2130,AK,"13,948"
2150,AK,"13,101"
2158,AK,"8,368"
2164,AK,"1,476"
2170,AK,"107,081"
2180,AK,"10,046"
2185,AK,"11,031"
2188,AK,"7,793"
2195,AK,"3,398"
2198,AK,"5,753"
2220,AK,"8,458"
2230,AK,"1,240"
2240,AK,"6,808"
2275,AK,"2,127"
2282,AK,662
2290,AK,"5,343"
4000,AZ,"7,151,502"
4001,AZ,"66,021"
4003,AZ,"125,447"
4005,AZ,"145,101"
4007,AZ,"53,272"
4009,AZ,"38,533"
4011,AZ,"9,563"
4012,AZ,"16,557"
4013,AZ,"4,420,568"
4015,AZ,"213,267"
4017,AZ,"106,717"
4019,AZ,"1,043,433"
4021,AZ,"425,264"
4023,AZ,"47,669"
4025,AZ,"236,209"
4027,AZ,"203,881"
5000,AR,"3,011,524"
5001,AR,"17,149"
5003,AR,"19,062"
5005,AR,"41,627"
5007,AR,"284,333"
5009,AR,"37,373"
5011,AR,"10,545"
5013,AR,"4,739"
5015,AR,"28,260"
5017,AR,"10,208"
5019,AR,"21,446"
5021,AR,"14,552"
5023,AR,"24,711"
5025,AR,"7,550"
5027,AR,"22,801"
5029,AR,"20,715"
5031,AR,"111,231"
5033,AR,"60,133"
5035,AR,"48,163"
5037,AR,"16,833"
5039,AR,"6,482"
5041,AR,"11,395"
5043,AR,"17,350"
5045,AR,"123,498"
5047,AR,"17,097"
5049,AR,"12,075"
5051,AR,"100,180"
5053,AR,"17,958"
5055,AR,"45,736"
5057,AR,"20,065"
5059,AR,"33,040"
5061,AR,"12,785"
5063,AR,"37,938"
5065,AR,"13,577"
5067,AR,"16,755"
5069,AR,"67,260"
5071,AR,"25,749"
5073,AR,"6,308"
5075,AR,"16,216"
5077,AR,"8,600"
5079,AR,"12,941"
5081,AR,"12,026"
5083,AR,"21,131"
5085,AR,"74,015"
5087,AR,"16,521"
5089,AR,"16,826"
5091,AR,"42,600"
5093,AR,"40,685"
5095,AR,"6,799"
5097,AR,"8,484"
5099,AR,"8,310"
5101,AR,"7,225"
5103,AR,"22,650"
5105,AR,"10,019"
5107,AR,"16,568"
5109,AR,"10,171"
5111,AR,"22,965"
5113,AR,"19,221"
5115,AR,"63,381"
5117,AR,"8,282"
5119,AR,"399,125"
5121,AR,"18,571"
5123,AR,"23,090"
5125,AR,"123,416"
5127,AR,"9,836"
5129,AR,"7,828"
5131,AR,"127,799"
5133,AR,"15,839"
5135,AR,"17,271"
5137,AR,"12,359"
5139,AR,"39,054"
5141,AR,"15,796"
5143,AR,"245,871"
5145,AR,"76,822"
5147,AR,"6,269"
5149,AR,"20,263"
6000,CA,"39,538,223"
6001,CA,"1,682,353"
6003,CA,"1,204"
6005,CA,"40,474"
6007,CA,"211,632"
6009,CA,"45,292"
6011,CA,"21,839"
6013,CA,"1,165,927"
6015,CA,"27,743"
6017,CA,"191,185"
6019,CA,"1,008,654"
6021,CA,"28,917"
6023,CA,"136,463"
6025,CA,"179,702"
6027,CA,"19,016"
6029,CA,"909,235"
6031,CA,"152,486"
6033,CA,"68,163"
6035,CA,"32,730"
6037,CA,"10,014,009"
6039,CA,"156,255"
6041,CA,"262,321"
6043,CA,"17,131"
6045,CA,"91,601"
6047,CA,"281,202"
6049,CA,"8,700"
6051,CA,"13,195"
6053,CA,"439,035"
6055,CA,"138,019"
6057,CA,"102,241"
6059,CA,"3,186,989"
6061,CA,"404,739"
6063,CA,"19,790"
6065,CA,"2,418,185"
6067,CA,"1,585,055"
6069,CA,"64,209"
6071,CA,"2,181,654"
6073,CA,"3,298,634"
6075,CA,"873,965"
6077,CA,"779,233"
6079,CA,"282,424"
6081,CA,"764,442"
6083,CA,"448,229"
6085,CA,"1,936,259"
6087,CA,"270,861"
6089,CA,"182,155"
6091,CA,"3,236"
6093,CA,"44,076"
6095,CA,"453,491"
6097,CA,"488,863"
6099,CA,"552,878"
6101,CA,"99,633"
6103,CA,"65,829"
6105,CA,"16,112"
6107,CA,"473,117"
6109,CA,"55,620"
6111,CA,"843,843"
6113,CA,"216,403"
6115,CA,"81,575"
8000,CO,"5,773,714"
8001,CO,"519,572"
8003,CO,"16,376"
8005,CO,"655,070"
8007,CO,"13,359"
8009,CO,"3,506"
8011,CO,"5,650"
8013,CO,"330,758"
8014,CO,"74,112"
8015,CO,"19,476"
8017,CO,"1,748"
8019,CO,"9,397"
8021,CO,"7,461"
8023,CO,"3,499"
8025,CO,"5,922"
8027,CO,"4,704"
8029,CO,"31,196"
8031,CO,"715,522"
8033,CO,"2,326"
8035,CO,"357,978"
8037,CO,"55,731"
8039,CO,"26,062"
8041,CO,"730,395"
8043,CO,"48,939"
8045,CO,"61,685"
8047,CO,"5,808"
8049,CO,"15,717"
8051,CO,"16,918"
8053,CO,788
8055,CO,"6,820"
8057,CO,"1,379"
8059,CO,"582,910"
8061,CO,"1,446"
8063,CO,"7,087"
8065,CO,"7,436"
8067,CO,"55,638"
8069,CO,"359,066"
8071,CO,"14,555"
8073,CO,"5,675"
8075,CO,"21,528"
8077,CO,"155,703"
8079,CO,865
8081,CO,"13,292"
8083,CO,"25,849"
8085,CO,"42,679"
8087,CO,"29,111"
8089,CO,"18,690"
8091,CO,"4,874"
8093,CO,"17,390"
8095,CO,"4,530"
8097,CO,"17,358"
8099,CO,"11,999"
8101,CO,"168,162"
8103,CO,"6,529"
8105,CO,"11,539"
8107,CO,"24,829"
8109,CO,"6,368"
8111,CO,705
8113,CO,"8,072"
8115,CO,"2,404"
8117,CO,"31,055"
8119,CO,"24,710"
8121,CO,"4,817"
8123,CO,"328,981"
8125,CO,"9,988"
9000,CT,"3,605,944"
9001,CT,"957,419"
9003,CT,"899,498"
9005,CT,"185,186"
9007,CT,"164,245"
9009,CT,"864,835"
9011,CT,"268,555"
9013,CT,"149,788"
9015,CT,"116,418"
9110,CT,
9120,CT,
9130,CT,
9140,CT,
9150,CT,
9160,CT,
9170,CT,
9180,CT,
9190,CT,
10000,DE,"989,948"
10001,DE,"181,851"
10003,DE,"570,719"
10005,DE,"237,378"
11000,DC,"689,545"
11001,DC,"689,545"
12000,FL,"21,538,187"
12001,FL,"278,468"
12003,FL,"28,259"
12005,FL,"175,216"
12007,FL,"28,303"
12009,FL,"606,612"
12011,FL,"1,944,375"
12013,FL,"13,648"
12015,FL,"186,847"
12017,FL,"153,843"
12019,FL,"218,245"
12021,FL,"375,752"
12023,FL,"69,698"
12027,FL,"33,976"
12029,FL,"16,759"
12031,FL,"995,567"
12033,FL,"321,905"
12035,FL,"115,378"
12037,FL,"12,451"
12039,FL,"43,826"
12041,FL,"17,864"
12043,FL,"12,126"
12045,FL,"14,192"
12047,FL,"14,004"
12049,FL,"25,327"
12051,FL,"39,619"
12053,FL,"194,515"
12055,FL,"101,235"
12057,FL,"1,459,762"
12059,FL,"19,653"
12061,FL,"159,788"
12063,FL,"47,319"
12065,FL,"14,510"
12067,FL,"8,226"
12069,FL,"383,956"
12071,FL,"760,822"
12073,FL,"292,198"
12075,FL,"42,915"
12077,FL,"7,974"
12079,FL,"17,968"
12081,FL,"399,710"
12083,FL,"375,908"
12085,FL,"158,431"
12086,FL,"2,701,767"
12087,FL,"82,874"
12089,FL,"90,352"
12091,FL,"211,668"
12093,FL,"39,644"
12095,FL,"1,429,908"
12097,FL,"388,656"
12099,FL,"1,492,191"
12101,FL,"561,891"
12103,FL,"959,107"
12105,FL,"725,046"
12107,FL,"73,321"
12109,FL,"273,425"
12111,FL,"329,226"
12113,FL,"188,000"
12115,FL,"434,006"
12117,FL,"470,856"
12119,FL,"129,752"
12121,FL,"43,474"
12123,FL,"21,796"
12125,FL,"16,147"
12127,FL,"553,543"
12129,FL,"33,764"
12131,FL,"75,305"
12133,FL,"25,318"
13000,GA,"10,711,908"
13001,GA,"18,444"
13003,GA,"8,286"
13005,GA,"11,140"
13007,GA,"2,876"
13009,GA,"43,799"
13011,GA,"18,035"
13013,GA,"83,505"
13015,GA,"108,901"
13017,GA,"17,194"
13019,GA,"18,160"
13021,GA,"157,346"
13023,GA,"12,583"
13025,GA,"18,021"
13027,GA,"16,301"
13029,GA,"44,738"
13031,GA,"81,099"
13033,GA,"24,596"
13035,GA,"25,434"
13037,GA,"5,573"
13039,GA,"54,768"
13043,GA,"10,981"
13045,GA,"119,148"
13047,GA,"67,872"
13049,GA,"12,518"
13051,GA,"295,291"
13053,GA,"9,565"
13055,GA,"24,965"
13057,GA,"266,620"
13059,GA,"128,671"
13061,GA,"2,848"
13063,GA,"297,595"
13065,GA,"6,749"
13067,GA,"766,149"
13069,GA,"43,092"
13071,GA,"45,898"
13073,GA,"156,010"
13075,GA,"17,229"
13077,GA,"146,158"
13079,GA,"12,130"
13081,GA,"20,128"
13083,GA,"16,251"
13085,GA,"26,798"
13087,GA,"29,367"
13089,GA,"764,382"
13091,GA,"19,925"
13093,GA,"11,208"
13095,GA,"85,790"
13097,GA,"144,237"
13099,GA,"10,854"
13101,GA,"3,697"
13103,GA,"64,769"
13105,GA,"19,637"
13107,GA,"22,768"
13109,GA,"10,774"
13111,GA,"25,319"
13113,GA,"119,194"
13115,GA,"98,584"
13117,GA,"251,283"
13119,GA,"23,424"
13121,GA,"1,066,710"
13123,GA,"31,353"
13125,GA,"2,884"
13127,GA,"84,499"
13129,GA,"57,544"
13131,GA,"26,236"
13133,GA,"18,915"
13135,GA,"957,062"
13137,GA,"46,031"
13139,GA,"203,136"
13141,GA,"8,735"
13143,GA,"29,919"
13145,GA,"34,668"
13147,GA,"25,828"
13149,GA,"11,412"
13151,GA,"240,712"
13153,GA,"163,633"
13155,GA,"9,666"
13157,GA,"75,907"
13159,GA,"14,588"
13161,GA,"14,779"
13163,GA,"15,709"
13165,GA,"8,674"
13167,GA,"9,189"
13169,GA,"28,347"
13171,GA,"18,500"
13173,GA,"9,877"
13175,GA,"49,570"
13177,GA,"33,163"
13179,GA,"65,256"
13181,GA,"7,690"
13183,GA,"16,168"
13185,GA,"118,251"
13187,GA,"33,488"
13189,GA,"21,632"
13191,GA,"10,975"
13193,GA,"12,082"
13195,GA,"30,120"
13197,GA,"7,498"
13199,GA,"20,613"
13201,GA,"6,000"
13205,GA,"21,755"
13207,GA,"27,957"
13209,GA,"8,610"
13211,GA,"20,097"
13213,GA,"39,973"
13215,GA,"206,922"
13217,GA,"112,483"
13219,GA,"41,799"
13221,GA,"14,825"
13223,GA,"168,661"
13225,GA,"27,981"
13227,GA,"33,216"
13229,GA,"19,716"
13231,GA,"18,889"
13233,GA,"42,853"
13235,GA,"9,855"
13237,GA,"22,047"
13239,GA,"2,235"
13241,GA,"16,883"
13243,GA,"6,425"
13245,GA,"206,607"
13247,GA,"93,570"
13249,GA,"4,547"
13251,GA,"14,067"
13253,GA,"9,147"
13255,GA,"67,306"
13257,GA,"26,784"
13259,GA,"5,314"
13261,GA,"29,616"
13263,GA,"5,733"
13265,GA,"1,559"
13267,GA,"22,842"
13269,GA,"7,816"
13271,GA,"12,477"
13273,GA,"9,185"
13275,GA,"45,798"
13277,GA,"41,344"
13279,GA,"27,030"
13281,GA,"12,493"
13283,GA,"6,406"
13285,GA,"69,426"
13287,GA,"9,006"
13289,GA,"8,022"
13291,GA,"24,632"
13293,GA,"27,700"
13295,GA,"67,654"
13297,GA,"96,673"
13299,GA,"36,251"
13301,GA,"5,215"
13303,GA,"19,988"
13305,GA,"30,144"
13307,GA,"2,348"
13309,GA,"7,471"
13311,GA,"28,003"
13313,GA,"102,864"
13315,GA,"8,766"
13317,GA,"9,565"
13319,GA,"8,877"
13321,GA,"20,784"
15000,HI,"1,455,271"
15001,HI,"200,629"
15003,HI,"1,016,508"
15005,HI,82
15007,HI,"73,298"
15009,HI,"164,754"
16000,ID,"1,839,106"
16001,ID,"494,967"
16003,ID,"4,379"
16005,ID,"87,018"
16007,ID,"6,372"
16009,ID,"9,530"
16011,ID,"47,992"
16013,ID,"24,272"
16015,ID,"7,610"
16017,ID,"47,110"
16019,ID,"123,964"
16021,ID,"12,056"
16023,ID,"2,574"
16025,ID,"1,077"
16027,ID,"231,105"
16029,ID,"7,027"
16031,ID,"24,655"
16033,ID,790
16035,ID,"8,734"
16037,ID,"4,275"
16039,ID,"28,666"
16041,ID,"14,194"
16043,ID,"13,388"
16045,ID,"19,123"
16047,ID,"15,598"
16049,ID,"16,541"
16051,ID,"30,891"
16053,ID,"24,237"
16055,ID,"171,362"
16057,ID,"39,517"
16059,ID,"7,974"
16061,ID,"3,533"
16063,ID,"5,127"
16065,ID,"52,913"
16067,ID,"21,613"
16069,ID,"42,090"
16071,ID,"4,564"
16073,ID,"11,913"
16075,ID,"25,386"
16077,ID,"7,878"
16079,ID,"13,169"
16081,ID,"11,630"
16083,ID,"90,046"
16085,ID,"11,746"
16087,ID,"10,500"
17000,IL,"12,812,508"
17001,IL,"65,737"
17003,IL,"5,240"
17005,IL,"16,725"
17007,IL,"53,448"
17009,IL,"6,244"
17011,IL,"33,244"
17013,IL,"4,437"
17015,IL,"15,702"
17017,IL,"13,042"
17019,IL,"205,865"
17021,IL,"34,032"
17023,IL,"15,455"
17025,IL,"13,288"
17027,IL,"36,899"
17029,IL,"46,863"
17031,IL,"5,275,541"
17033,IL,"18,679"
17035,IL,"10,450"
17037,IL,"100,420"
17039,IL,"15,516"
17041,IL,"19,740"
17043,IL,"932,877"
17045,IL,"16,866"
17047,IL,"6,245"
17049,IL,"34,668"
17051,IL,"21,488"
17053,IL,"13,534"
17055,IL,"37,804"
17057,IL,"33,609"
17059,IL,"4,946"
17061,IL,"11,985"
17063,IL,"52,533"
17065,IL,"7,993"
17067,IL,"17,620"
17069,IL,"3,649"
17071,IL,"6,387"
17073,IL,"49,284"
17075,IL,"27,077"
17077,IL,"52,974"
17079,IL,"9,287"
17081,IL,"37,113"
17083,IL,"21,512"
17085,IL,"22,035"
17087,IL,"13,308"
17089,IL,"516,522"
17091,IL,"107,502"
17093,IL,"131,869"
17095,IL,"49,967"
17097,IL,"714,342"
17099,IL,"109,658"
17101,IL,"15,280"
17103,IL,"34,145"
17105,IL,"35,815"
17107,IL,"27,987"
17109,IL,"27,238"
17111,IL,"310,229"
17113,IL,"170,954"
17115,IL,"103,998"
17117,IL,"44,967"
17119,IL,"265,859"
17121,IL,"37,729"
17123,IL,"11,742"
17125,IL,"13,086"
17127,IL,"14,169"
17129,IL,"12,297"
17131,IL,"15,699"
17133,IL,"34,962"
17135,IL,"28,288"
17137,IL,"32,915"
17139,IL,"14,526"
17141,IL,"51,788"
17143,IL,"181,830"
17145,IL,"20,945"
17147,IL,"16,673"
17149,IL,"14,739"
17151,IL,"3,763"
17153,IL,"5,193"
17155,IL,"5,637"
17157,IL,"30,163"
17159,IL,"15,813"
17161,IL,"144,672"
17163,IL,"257,400"
17165,IL,"23,768"
17167,IL,"196,343"
17169,IL,"6,902"
17171,IL,"4,949"
17173,IL,"20,990"
17175,IL,"5,400"
17177,IL,"44,630"
17179,IL,"131,343"
17181,IL,"17,244"
17183,IL,"74,188"
17185,IL,"11,361"
17187,IL,"16,835"
17189,IL,"13,761"
17191,IL,"16,179"
17193,IL,"13,877"
17195,IL,"55,691"
17197,IL,"696,355"
17199,IL,"67,153"
17201,IL,"285,350"
17203,IL,"38,467"
18000,IN,"6,785,528"
18001,IN,"35,809"
18003,IN,"385,410"
18005,IN,"82,208"
18007,IN,"8,719"
18009,IN,"12,112"
18011,IN,"70,812"
18013,IN,"15,475"
18015,IN,"20,306"
18017,IN,"37,870"
18019,IN,"121,093"
18021,IN,"26,466"
18023,IN,"33,190"
18025,IN,"10,526"
18027,IN,"33,381"
18029,IN,"50,679"
18031,IN,"26,472"
18033,IN,"43,265"
18035,IN,"111,903"
18037,IN,"43,637"
18039,IN,"207,047"
18041,IN,"23,398"
18043,IN,"80,484"
18045,IN,"16,479"
18047,IN,"22,785"
18049,IN,"20,480"
18051,IN,"33,011"
18053,IN,"66,674"
18055,IN,"30,803"
18057,IN,"347,467"
18059,IN,"79,840"
18061,IN,"39,654"
18063,IN,"174,788"
18065,IN,"48,914"
18067,IN,"83,658"
18069,IN,"36,662"
18071,IN,"46,428"
18073,IN,"32,918"
18075,IN,"20,478"
18077,IN,"33,147"
18079,IN,"27,613"
18081,IN,"161,765"
18083,IN,"36,282"
18085,IN,"80,240"
18087,IN,"40,446"
18089,IN,"498,700"
18091,IN,"112,417"
18093,IN,"45,011"
18095,IN,"130,129"
18097,IN,"977,203"
18099,IN,"46,095"
18101,IN,"9,812"
18103,IN,"35,962"
18105,IN,"139,718"
18107,IN,"37,936"
18109,IN,"71,780"
18111,IN,"13,830"
18113,IN,"47,457"
18115,IN,"5,940"
18117,IN,"19,867"
18119,IN,"21,321"
18121,IN,"16,156"
18123,IN,"19,170"
18125,IN,"12,250"
18127,IN,"173,215"
18129,IN,"25,222"
18131,IN,"12,514"
18133,IN,"36,726"
18135,IN,"24,502"
18137,IN,"28,995"
18139,IN,"16,752"
18141,IN,"272,912"
18143,IN,"24,384"
18145,IN,"45,055"
18147,IN,"19,810"
18149,IN,"23,371"
18151,IN,"34,435"
18153,IN,"20,817"
18155,IN,"9,737"
18157,IN,"186,251"
18159,IN,"15,359"
18161,IN,"7,087"
18163,IN,"180,136"
18165,IN,"15,439"
18167,IN,"106,153"
18169,IN,"30,976"
18171,IN,"8,440"
18173,IN,"63,898"
18175,IN,"28,182"
18177,IN,"66,553"
18179,IN,"28,180"
18181,IN,"24,688"
18183,IN,"34,191"
19000,IA,"3,190,369"
19001,IA,"7,496"
19003,IA,"3,704"
19005,IA,"14,061"
19007,IA,"12,317"
19009,IA,"5,674"
19011,IA,"25,575"
19013,IA,"131,144"
19015,IA,"26,715"
19017,IA,"24,988"
19019,IA,"20,565"
19021,IA,"20,823"
19023,IA,"14,334"
19025,IA,"9,927"
19027,IA,"20,760"
19029,IA,"13,127"
19031,IA,"18,505"
19033,IA,"43,127"
19035,IA,"11,658"
19037,IA,"12,012"
19039,IA,"9,748"
19041,IA,"16,384"
19043,IA,"17,043"
19045,IA,"46,460"
19047,IA,"16,525"
19049,IA,"99,678"
19051,IA,"9,110"
19053,IA,"7,645"
19055,IA,"17,488"
19057,IA,"38,910"
19059,IA,"17,703"
19061,IA,"99,266"
19063,IA,"9,388"
19065,IA,"19,509"
19067,IA,"15,627"
19069,IA,"10,019"
19071,IA,"6,605"
19073,IA,"8,771"
19075,IA,"12,329"
19077,IA,"10,623"
19079,IA,"15,039"
19081,IA,"10,795"
19083,IA,"16,878"
19085,IA,"14,582"
19087,IA,"20,482"
19089,IA,"9,469"
19091,IA,"9,597"
19093,IA,"7,005"
19095,IA,"16,662"
19097,IA,"19,485"
19099,IA,"37,813"
19101,IA,"15,663"
19103,IA,"152,854"
19105,IA,"20,646"
19107,IA,"10,033"
19109,IA,"14,828"
19111,IA,"33,555"
19113,IA,"230,299"
19115,IA,"10,837"
19117,IA,"8,634"
19119,IA,"11,934"
19121,IA,"16,548"
19123,IA,"22,190"
19125,IA,"33,414"
19127,IA,"40,105"
19129,IA,"14,484"
19131,IA,"10,565"
19133,IA,"8,751"
19135,IA,"7,577"
19137,IA,"10,330"
19139,IA,"43,235"
19141,IA,"14,182"
19143,IA,"6,192"
19145,IA,"15,211"
19147,IA,"8,996"
19149,IA,"25,698"
19151,IA,"7,078"
19153,IA,"492,401"
19155,IA,"93,667"
19157,IA,"18,662"
19159,IA,"4,663"
19161,IA,"9,814"
19163,IA,"174,669"
19165,IA,"11,746"
19167,IA,"35,872"
19169,IA,"98,537"
19171,IA,"17,135"
19173,IA,"5,896"
19175,IA,"12,138"
19177,IA,"7,203"
19179,IA,"35,437"
19181,IA,"52,403"
19183,IA,"22,565"
19185,IA,"6,497"
19187,IA,"36,999"
19189,IA,"10,679"
19191,IA,"20,070"
19193,IA,"105,941"
19195,IA,"7,443"
19197,IA,"12,943"
20000,KS,"2,937,880"
20001,KS,"12,526"
20003,KS,"7,836"
20005,KS,"16,348"
20007,KS,"4,228"
20009,KS,"25,493"
20011,KS,"14,360"
20013,KS,"9,508"
20015,KS,"67,380"
20017,KS,"2,572"
20019,KS,"3,379"
20021,KS,"19,362"
20023,KS,"2,616"
20025,KS,"1,991"
20027,KS,"8,117"
20029,KS,"9,032"
20031,KS,"8,360"
20033,KS,"1,689"
20035,KS,"34,549"
20037,KS,"38,972"
20039,KS,"2,764"
20041,KS,"18,402"
20043,KS,"7,510"
20045,KS,"118,785"
20047,KS,"2,907"
20049,KS,"2,483"
20051,KS,"28,934"
20053,KS,"6,376"
20055,KS,"38,470"
20057,KS,"34,287"
20059,KS,"25,996"
20061,KS,"36,739"
20063,KS,"2,718"
20065,KS,"2,415"
20067,KS,"7,352"
20069,KS,"5,653"
20071,KS,"1,284"
20073,KS,"6,016"
20075,KS,"2,518"
20077,KS,"5,485"
20079,KS,"34,024"
20081,KS,"3,780"
20083,KS,"1,723"
20085,KS,"13,232"
20087,KS,"18,368"
20089,KS,"2,932"
20091,KS,"609,863"
20093,KS,"3,983"
20095,KS,"7,470"
20097,KS,"2,460"
20099,KS,"20,184"
20101,KS,"1,574"
20103,KS,"81,881"
20105,KS,"2,939"
20107,KS,"9,591"
20109,KS,"2,762"
20111,KS,"32,179"
20113,KS,"30,223"
20115,KS,"11,823"
20117,KS,"10,038"
20119,KS,"4,055"
20121,KS,"34,191"
20123,KS,"5,796"
20125,KS,"31,486"
20127,KS,"5,386"
20129,KS,"2,701"
20131,KS,"10,273"
20133,KS,"15,904"
20135,KS,"2,687"
20137,KS,"5,459"
20139,KS,"15,766"
20141,KS,"3,500"
20143,KS,"5,735"
20145,KS,"6,253"
20147,KS,"4,981"
20149,KS,"25,348"
20151,KS,"9,157"
20153,KS,"2,561"
20155,KS,"61,898"
20157,KS,"4,674"
20159,KS,"9,427"
20161,KS,"71,959"
20163,KS,"4,919"
20165,KS,"2,956"
20167,KS,"6,691"
20169,KS,"54,303"
20171,KS,"5,151"
20173,KS,"523,824"
20175,KS,"21,964"
20177,KS,"178,909"
20179,KS,"2,447"
20181,KS,"5,927"
20183,KS,"3,570"
20185,KS,"4,072"
20187,KS,"2,084"
20189,KS,"5,250"
20191,KS,"22,382"
20193,KS,"7,930"
20195,KS,"2,808"
20197,KS,"6,877"
20199,KS,"1,512"
20201,KS,"5,530"
20203,KS,"2,152"
20205,KS,"8,624"
20207,KS,"3,115"
20209,KS,"169,245"
21000,KY,"4,505,836"
21001,KY,"18,903"
21003,KY,"20,588"
21005,KY,"23,852"
21007,KY,"7,728"
21009,KY,"44,485"
21011,KY,"12,750"
21013,KY,"24,097"
21015,KY,"135,968"
21017,KY,"20,252"
21019,KY,"48,261"
21021,KY,"30,614"
21023,KY,"8,400"
21025,KY,"13,718"
21027,KY,"20,432"
21029,KY,"82,217"
21031,KY,"12,371"
21033,KY,"12,649"
21035,KY,"37,103"
21037,KY,"93,076"
21039,KY,"4,826"
21041,KY,"10,810"
21043,KY,"26,627"
21045,KY,"15,941"
21047,KY,"72,748"
21049,KY,"36,972"
21051,KY,"20,345"
21053,KY,"9,253"
21055,KY,"8,990"
21057,KY,"5,888"
21059,KY,"103,312"
21061,KY,"12,126"
21063,KY,"7,354"
21065,KY,"14,163"
21067,KY,"322,570"
21069,KY,"15,082"
21071,KY,"35,942"
21073,KY,"51,541"
21075,KY,"6,515"
21077,KY,"8,690"
21079,KY,"16,953"
21081,KY,"24,941"
21083,KY,"36,649"
21085,KY,"26,420"
21087,KY,"11,107"
21089,KY,"35,962"
21091,KY,"9,095"
21093,KY,"110,702"
21095,KY,"26,831"
21097,KY,"18,692"
21099,KY,"19,288"
21101,KY,"44,793"
21103,KY,"15,678"
21105,KY,"4,521"
21107,KY,"45,423"
21109,KY,"12,955"
21111,KY,"782,969"
21113,KY,"52,991"
21115,KY,"22,680"
21117,KY,"169,064"
21119,KY,"14,251"
21121,KY,"30,193"
21123,KY,"14,867"
21125,KY,"62,613"
21127,KY,"16,293"
21129,KY,"7,395"
21131,KY,"10,513"
21133,KY,"21,548"
21135,KY,"13,080"
21137,KY,"24,275"
21139,KY,"8,888"
21141,KY,"27,432"
21143,KY,"8,680"
21145,KY,"67,875"
21147,KY,"16,888"
21149,KY,"9,152"
21151,KY,"92,701"
21153,KY,"11,637"
21155,KY,"19,581"
21157,KY,"31,659"
21159,KY,"11,287"
21161,KY,"17,120"
21163,KY,"30,003"
21165,KY,"6,113"
21167,KY,"22,641"
