week_ending,A.2.5,AY.1,AY.2,AY.3,B.1,B.1.1,B.1.1.519,B.1.1.529,B.1.1.7,B.1.2,B.1.234,B.1.243,B.1.351,B.1.427,B.1.429,B.1.525,B.1.526,B.1.526.1,B.1.526.2,B.1.596,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,B.1.621.1,B.1.626,B.1.628,BA.1.1,BA.2,BA.2.12.1,BA.2.75,BA.2.75.2,BA.2.86,BA.4,BA.4.6,BA.5,BA.5.2.6,BF.11,BF.7,BN.1,BQ.1,BQ.1.1,CH.1.1,EG.5,EG.5.1.8,EG.6.1,EU.1.1,FD.1.1,FD.2,FE.1.1,FL.1.5.1,GE.1,GK.1.1,GK.2,HF.1,HK.3,HV.1,JD.1.1,JF.1,JG.3,JN.1,JN.1.11.1,JN.1.13,JN.1.13.1,JN.1.16,JN.1.16.1,JN.1.18,JN.1.32,JN.1.4.3,JN.1.7,JN.1.8.1,KP.1.1,KP.1.1.3,KP.1.2,KP.2,KP.2.15,KP.2.3,KP.3,KP.3.1.1,KP.4.1,KQ.1,KS.1,KV.2,KW.1.1,LB.1,LF.3.1,LP.1,Other,P.1,P.2,R.1,XBB,XBB.1.16,XBB.1.16.1,XBB.1.16.11,XBB.1.16.15,XBB.1.16.17,XBB.1.16.6,XBB.1.42.2,XBB.1.5,XBB.1.5.1,XBB.1.5.10,XBB.1.5.59,XBB.1.5.68,XBB.1.5.70,XBB.1.5.72,XBB.1.9.1,XBB.1.9.2,XBB.2.3,XBB.2.3.8,XDP,XDV.1
2021-01-02,,,,,0.0574959851801395,,0.0030486197210848,,0.0014592430088669,0.4196120500564575,0.0460644774138927,0.0385656207799911,0.0,0.0327338390052318,0.0332475118339061,0.0,0.0003437310515437,,,0.0916006490588188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2704997062683105,0.0,0.0028548541013151,0.0024737217463552,,,,,,,,,,,,,,,,,,,,,
2021-01-16,,,,,0.0526089034974575,,0.0081943664699792,,0.0024223832879215,0.3878549933433532,0.0282218009233474,0.0405301786959171,0.0004003977810498,0.0364403426647186,0.0644134581089019,0.0,0.0052925515919923,,,0.1002633720636367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2673123776912689,0.0,0.0047247014008462,0.0013201549882069,,,,,,,,,,,,,,,,,,,,,
2021-01-30,0.0015479510184377,0.0,0.0,0.0,0.045294064689766225,0.0141326962038874,0.01670310040935869,,0.011602116247209155,0.4067889153957367,0.0336016230285167,0.0271771736443042,0.0007363556248422078,0.03888141951308796,0.07951464332067046,0.0006376462585578846,0.010388658274538184,0.002067194417274183,0.0033080890619505664,0.09345019161701199,0.0,0.0,4.017046012448333e-05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47645167662547183,0.0004245628336390308,0.005159260705113381,0.0033152969554066,,,,,,,,,,,,,,,,,,,,,
2021-02-13,0.0006727867294102,0.0,3.4448079532e-05,0.0,0.038098652931776875,0.0111294081434607,0.03133174572139974,,0.04421532698548753,0.3995418581697676,0.0233716107904911,0.0306922066956758,0.0022650067157183153,0.04213894387850389,0.09739568829536432,0.0010168255270959691,0.022254384337709463,0.0044369248207658,0.0037166856151694665,0.07312116026878354,0.0,0.0,1.2639151464075e-05,0.0,0.0,0.0,0.0,2.740813943085e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41368395204727465,0.00024382693607965383,0.008143043890595371,0.007874384522438,,,,,,,,,,,,,,,,,,,,,
2021-02-27,0.001427918090485,0.0,0.0,0.0,0.03332446577648316,0.018496673554182,0.038591792976314335,,0.11258587081517489,0.32356283962726595,0.0187506340444087,0.0255903918296098,0.004912955154265629,0.0461513008922338,0.09360589885285919,0.0026793350365810647,0.05355012257184295,0.012064859581490317,0.012873844398806433,0.05922491699457164,0.0,0.0,8.444758714175385e-05,0.0,0.0,0.00010878399916685,0.0,0.00010877069871635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35218543878623415,0.0007462316966016429,0.007848404728892127,0.0122403223067522,,,,,,,,,,,,,,,,,,,,,
2021-03-13,0.0010506041580811,0.0,0.0,0.0,0.02509545154559112,0.0128131648525595,0.05080514672127633,,0.2726458417517798,0.21605399101972575,0.0137950852513313,0.017012758180499,0.004887860002262207,0.04350681017552098,0.0907520172851426,0.002360065584070936,0.06768953693764546,0.018289052570859533,0.016852979393055016,0.04220999032258982,0.0,0.0001000705681060077,5.362627206728462e-05,5.225942424223078e-06,2.4320494655166665e-05,0.0,0.0,0.000328580441419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257782227226666,0.0053955177177807635,0.006100923246280663,0.0126997018232941,,,,,,,,,,,,,,,,,,,,,
2021-03-27,0.000869728566613,0.0,0.0,0.0,0.01663103521180645,0.0109445760026574,0.04561793567104767,,0.44711634729589733,0.10676561370491977,0.0050611929036676,0.0070560001768171,0.0079424037664596,0.029364686725395016,0.06597537919878957,0.004088206649092636,0.11585633988891327,0.028597518491248235,0.030910771340131718,0.01621978469192976,0.0,0.0005210832952377846,9.018249077666155e-05,2.2824307541923077e-06,0.0002773207088466333,0.0001851349079515,8.25126553536e-05,0.0007758462452329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14984807797840657,0.01590786388676076,0.003844627835364464,0.0104001658037304,,,,,,,,,,,,,,,,,,,,,
2021-04-10,0.0006059356383047,0.0,0.0,0.0,0.011783134463864017,0.0079220095649361,0.029387024315920683,,0.595096115555082,0.03859156928956503,0.0017891328316181,0.0022418154403567,0.0099366421678236,0.017316287516483193,0.043702056631445836,0.00429017008614855,0.11824565859777582,0.03180866936842597,0.03248352650552983,0.005267285834997861,0.0,0.0009647107665211615,0.0009214489926726924,2.0655244252984617e-05,0.0007603345826888334,0.00011131679275415001,0.0,0.0012977095902897001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08075780767415248,0.035781364887952756,0.001652503068643482,0.0049503655172884,,,,,,,,,,,,,,,,,,,,,
2021-04-24,0.0005509046604856,2.92335280391e-05,0.0,3.91847170249e-05,0.012838301926173891,0.0100947888568043,0.02062702067196365,,0.6618856054085952,0.013343426916334323,,,0.0083406157791614,0.010506468108640216,0.02325727547017423,0.0034775640815495846,0.1115856078954843,0.02833123815556365,0.03352904723336293,0.002004349487833625,0.0,0.0015503786898289154,0.005559995662994061,7.400627901701538e-05,0.001966505078598833,0.00022202971740619998,4.68576909042e-05,0.0024752735625951997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054314916237042446,0.05213192649758774,0.00062867542728779,,,,,,,,,,,,,,,,,,,,,,
2021-05-08,0.0008541416027583,2.28365552175e-05,0.0,5.44368922419e-05,0.0114463188995917,,0.012136057834140925,,0.6990715373646129,0.006889541699950158,,,0.008737797086889055,0.0071413809941573,0.012888626703484453,0.002686948769471809,0.09975049035115671,0.023942634928971473,0.029690542723983474,0.0008664546767249001,0.0,0.0006783476882529091,0.013131208125163156,9.795091913954546e-06,0.0048282343583802,0.00113513204269105,2.71711451205e-05,0.0046474027913063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04284735769033427,0.06824189559979868,0.0001693299527687,,,,,,,,,,,,,,,,,,,,,,
2021-05-15,,,,,,,,0.00011239822833880834,,,,,,,,,,,,,,,0.02580126126607255,,,,,,8.551405436360834e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974000828133689,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-22,0.0007418644381687,0.0001510516594862,0.0001669088378548,0.0016568922437727,0.0139882871881127,,0.0089702038094401,,0.6925290359391106,0.00102926873369138,,,0.007235541991475511,0.004004205499465233,0.0060786954127251555,0.0013905523681184999,0.09351509188612299,0.02504649292677635,0.02646973636001345,,0.0,0.0006417623436491778,0.02897508690754569,5.144452411006667e-05,0.007656978598485333,0.00286313961260015,0.000140843752888,0.00707533396780485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04477876176436737,0.08683652927478151,7.70364082805e-06,,,,,,,,,,,,,,,,,,,,,,
2021-05-29,,,,,,,,0.00033219406800016665,,,,,,,,,,,,,,,0.055008667624658975,,,,,,0.00014793237783622778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944511204957962,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-05,0.0031228673178702,0.0005850901361554,0.0037034300621598,0.0129590686410665,0.01749528432264922,,0.0046303640119731,,0.5982421551431928,0.0005945870458769,,,0.004221355575802029,0.003257139153512414,0.0034232467545994003,0.0009624677726865428,0.09426663815975186,,,,0.0,0.0002070335550732143,0.0983860897166388,3.813716466535714e-05,0.020032292231917336,0.00662625767290585,0.0004566158459056,0.012010804377496149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05395244274820594,0.11068117724997653,0.000138789389893575,,,,,,,,,,,,,,,,,,,,,,
2021-06-12,,,,,,,,0.000118408567989975,,,,,,,,,,,,,,,0.19195826227466262,,,,,,0.00017172690180202498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077515992853377,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-19,0.0033555389381945,0.0007579770754091,0.009992235340178,0.0435124486684799,0.017623800473908532,,0.0015998382586985501,,0.43255776166915894,0.0001087291457224,,,0.0020708042196929,0.0015345795662142,0.00122010484337802,0.0014022394316270399,0.053700869530439364,,,,,0.00011576318647710002,0.3036109209060669,0.0002300887252204,0.03373685851693147,0.009787191171199049,0.0001208923567901,0.01623720396310085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05189683362841602,0.09822437763214106,0.0,,,,,,,,,,,,,,,,,,,,,,
